time(100ns)   time_stamp(ms)    frame eye_valid_L   eye_valid_R   openness_L    openness_R    pupil_diameter_L(mm)  pupil_diameter_R(mm)  pos_sensor_L.x    pos_sensor_L.y    pos_sensor_R.x    pos_sensor_R.y    gaze_origin_L.x(mm)   gaze_origin_L.y(mm)   gaze_origin_L.z(mm)   gaze_origin_R.x(mm)   gaze_origin_R.y(mm)   gaze_origin_R.z(mm)   gaze_direct_L.x   gaze_direct_L.y   gaze_direct_L.z   gaze_direct_R.x   gaze_direct_R.y   gaze_direct_R.z   gaze_sensitive    frown_L   frown_R   squeeze_L squeeze_R wide_L    wide_R    distance_valid_C  distance_C(mm)    track_imp_cnt
638227775133895202  1186155   26558    31  31  1   1   4.008789 4.191925 0.4833519   0.5876479   0.4926608   0.5391193   33.8075  1.376038  -30.48763  -31.21707  3.056946  -32.25462  -0.01394653  -0.122467  0.9923706  -0.001861572  -0.09988403  0.9949951  1   0  0  0    0    0.3177983   0.3177983   False 0   0
638227775134339673  1186205   26564    31  31  1   1   3.914093 4.12825 0.4724905   0.5921971   0.4837875   0.548011   34.03061  1.3069  -30.62617  -31.08772  2.968048  -32.32124  0.009033203  -0.1297455  0.9915009  0.02922058  -0.1363678  0.9902191  1   0  0  0    0    0.1868007   0.1868007   False 0   0
638227775134475026  1186222   26566    31  31  1   1   3.887161 4.157776 0.4721383   0.5923756   0.4840855   0.5482699   34.03102  1.295837  -30.61263  -31.09996  2.940536  -32.31987  0.01170349  -0.1293488  0.9915161  0.03033447  -0.131485  0.9908447  1   0  0  0    0    0.1892958   0.1892958   False 0   0
638227775134664524  1186247   26569    31  31  1   1   3.799591 4.155777 0.4730273   0.593826   0.4859359   0.5519626   34.04836  1.320114  -30.86536  -31.12033  2.897766  -32.41344  0.001113892  -0.1284332  0.9917145  0.02226257  -0.1404266  0.9898376  1   0  0  0    0    0.1991483   0.1991483   False 0   0
638227775134804150  1186255   26570    31  31  1   1   3.843491 4.091354 0.4735112   0.5946519   0.4869708   0.5525534   34.03432  1.218628  -30.52351  -31.12886  2.845947  -32.321  0.0004272461  -0.1330261  0.9911041  0.01676941  -0.1384735  0.9902191  1   0  0  0    0    0.2044359   0.2044359   False 0   0
638227775134923830  1186264   26571    31  31  1   1   3.841721 4.166489 0.4736453   0.5947415   0.4875575   0.552755   34.03342  1.211136  -30.49687  -31.1445  2.871063  -32.38995  -0.0003509521  -0.1337433  0.9910126  0.01683044  -0.1408997  0.9898682  1   0  0  0    0    0.2069396   0.2069396   False 0   0
638227775135133277  1186289   26574    31  31  1   1   3.830322 4.085693 0.4736676   0.594738   0.4880389   0.5517762   34.03238  1.215912  -30.50427  -31.15511  2.881409  -32.32123  -0.0001678467  -0.1344299  0.990921  0.01568604  -0.1416626  0.9897766  1   0  0  0    0    0.2186163   0.2186163   False 0   0
638227775135272898  1186305   26576    31  31  1   1   3.83876 4.07785 0.474025   0.5945938   0.4891677   0.5501197   34.02876  1.216568  -30.49406  -31.19333  2.92453  -32.29013  -0.001937866  -0.1342621  0.9909363  0.01716614  -0.142807  0.9895935  1   0  0  0    0    0.2109862   0.2109862   False 0   0
638227775135462390  1186330   26579    31  31  1   1   3.819962 4.079895 0.4759024   0.592896   0.4897012   0.5495718   33.96773  1.226059  -30.35825  -31.21249  2.980377  -32.46869  0.000213623  -0.1340179  0.9909668  0.01811218  -0.1405182  0.9898987  1   0  0  0    0    0.2023368   0.2023368   False 0   0
638227775135701742  1186347   26581    31  31  1   1   3.858398 4.0345 0.4765782   0.592232   0.4895073   0.5490532   33.95282  1.190964  -30.17467  -31.21936  2.975906  -32.42131  -0.001327515  -0.1331787  0.9910889  0.02102661  -0.1392822  0.9900208  1   0  0  0    0    0.193816   0.193816   False 0   0
